	AGEL	CORI	DICT	GNAP	HAHN	LINY	LYCO	PISA	SALT	THER	THOM	ARAC	COLE	COLL	DERM	DIP	GRYL	HYME	ISOP	LEPI	OPIL	PSEU	Total Spiders
Agel	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	56	14	0	0	33	0	0	300
Cori	0	0	0	16	3	0	22	3	0	0	17	0	0	27	0	0	0	37	0	0	0	0	302
Dict	0	0	0	0	22	68	0	0	0	11	0	0	0	0	0	34	0	0	0	12	0	0	302
Gnap	0	3	0	0	0	9	37	0	0	0	4	0	9	12	0	10	0	35	0	5	0	0	300
Hahn	0	0	0	0	0	98	0	0	0	0	9	0	0	0	0	15	0	0	0	19	0	0	303
Liny	0	0	22	0	31	0	8	10	0	28	0	0	0	33	0	36	0	0	0	14	0	0	302
Lyco	0	0	0	9	0	7	0	6	12	0	12	12	14	14	7	14	15	0	2	0	13	2	304
Pisa	0	0	0	0	0	0	10	0	0	3	4	0	0	0	0	61	0	0	0	23	12	0	300
Salt	0	4	0	0	0	0	29	15	0	0	16	24	0	12	2	8	17	7	0	0	0	6	300
Ther	0	0	2	0	17	49	0	8	0	0	0	0	0	0	0	17	0	0	0	9	0	8	300
Thom	0	0	0	0	0	0	38	20	7	0	0	22	0	25	0	22	0	0	0	10	0	11	299
