	AGEL	CORI	DICT	GNAP	HAHN	LINY	LYCO	PISA	SALT	THER	THOM	ARAC	COLE	COLL	DERM	DIP	GRYL	HYME	ISOP	LEPI	OPIL	PSEU	Total Spiders
Agel	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	34	9	0	0	18	0	0	170
Cori	0	0	0	8	1	0	10	1	0	0	6	0	0	12	0	0	0	21	0	0	0	0	142
Dict	0	0	0	0	5	29	0	0	0	6	0	0	0	0	0	19	0	0	0	6	0	0	138
Gnap	0	0	0	0	0	6	20	0	0	0	2	0	4	9	0	8	0	22	0	4	0	0	213
Hahn	0	0	0	0	0	37	0	0	0	0	4	0	0	0	0	2	0	0	0	8	0	0	127
Liny	0	0	10	0	9	0	3	5	0	11	0	0	0	15	0	16	0	0	0	6	0	0	127
Lyco	0	0	0	1	0	3	0	3	1	0	1	3	2	3	0	1	2	0	0	0	1	0	42
Pisa	0	0	0	0	0	0	7	0	0	2	4	0	0	0	0	36	0	0	0	15	6	0	203
Salt	0	0	0	0	0	0	10	6	0	0	3	7	0	6	1	3	5	2	0	0	0	3	132
Ther	0	0	0	0	11	23	0	6	0	0	0	0	0	0	0	7	0	0	0	5	0	7	200
Thom	0	0	0	0	0	0	19	8	4	0	0	6	0	12	0	14	0	0	0	7	0	6	154
