	AGEL	CORI	DICT	GNAP	HAHN	LINY	LYCO	PISA	SALT	THER	THOM	ARAC	COLE	COLL	DERM	DIP	GRYL	HYME	ISOP	LEPI	OPIL	PSEU	Total Spiders
Agel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	14	0	0	0	0	0	113
Cori	0	0	0	13	0	0	17	1	0	0	10	0	0	1	0	0	0	0	0	0	0	0	114
Dict	0	0	0	0	18	32	0	0	0	8	0	0	0	0	0	16	0	0	0	2	0	0	141
Gnap	0	1	0	0	0	6	14	0	0	0	4	0	1	3	0	3	0	8	0	1	0	0	105
Hahn	0	0	0	0	0	50	0	0	0	0	6	0	0	0	0	4	0	0	0	2	0	0	108
Liny	0	0	9	0	13	0	5	1	0	12	0	0	0	4	0	3	0	0	0	4	0	0	74
Lyco	0	0	0	5	0	5	0	2	8	0	9	4	6	4	4	7	5	0	1	0	5	2	158
Pisa	0	0	0	0	0	0	9	0	0	1	4	0	0	0	0	31	0	0	0	11	6	0	133
Salt	0	1	0	0	0	0	16	4	0	0	9	9	0	5	1	1	1	0	0	0	0	0	100
Ther	0	0	2	0	10	25	0	3	0	0	0	0	0	0	0	3	0	0	0	2	0	0	106
Thom	0	0	0	0	0	0	25	10	6	0	0	2	0	7	0	6	0	0	0	2	0	1	109
