	AGEL	CORI	DICT	GNAP	HAHN	LINY	LYCO	PISA	SALT	THER	THOM	ARAC	COLE	COLL	DERM	DIP	GRYL	HYME	ISOP	LEPI	OPIL	PSEU	Total Spiders
Agel	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	16	4	0	0	8	0	0	75
Cori	0	0	0	6	1	0	7	2	0	0	5	0	0	8	0	0	0	9	0	0	0	0	90
Dict	0	0	0	0	6	9	0	0	0	3	0	0	0	0	0	6	0	0	0	2	0	0	64
Gnap	0	3	0	0	0	3	10	0	0	0	1	0	4	1	0	0	0	8	0	0	0	0	49
Hahn	0	0	0	0	0	24	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	63
Liny	0	0	1	0	9	0	2	0	0	8	0	0	0	9	0	6	0	0	0	4	0	0	54
Lyco	0	0	0	5	0	1	0	1	3	0	1	3	6	4	3	2	2	0	2	0	5	0	88
Pisa	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	15	0	0	0	7	5	0	64
Salt	0	2	0	0	0	0	11	4	0	0	7	6	0	3	0	3	6	3	0	0	0	1	80
Ther	0	0	0	0	1	10	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	35
Thom	0	0	0	0	0	0	3	2	1	0	0	2	0	2	0	0	0	0	0	1	0	1	25
