	AGEL	CORI	DICT	GNAP	HAHN	LINY	LYCO	PISA	SALT	THER	THOM	ARAC	COLE	COLL	DERM	DIP	GRYL	HYME	ISOP	LEPI	OPIL	PSEU	Total Spiders
Agel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Cori	0	0	0	2	3	0	4	2	0	0	6	0	0	22	0	0	0	30	0	0	0	0	170
Dict	0	0	0	0	2	16	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	83
Gnap	0	2	0	0	0	2	22	0	0	0	0	0	7	8	0	6	0	25	0	2	0	0	165
Hahn	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	94
Liny	0	0	7	0	11	0	0	1	0	6	0	0	0	15	0	12	0	0	0	3	0	0	87
Lyco	0	0	0	0	0	0	0	0	1	0	0	5	4	5	1	3	4	0	0	0	3	0	55
Pisa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	3	0	10
Salt	0	0	0	0	0	0	5	1	0	0	2	10	0	5	1	4	8	6	0	0	0	5	113
Ther	0	0	0	0	6	13	0	2	0	0	0	0	0	0	0	6	0	0	0	2	0	5	125
Thom	0	0	0	0	0	0	7	3	1	0	0	19	0	9	0	6	0	0	0	1	0	3	102
