	AGEL	CORI	DICT	GNAP	HAHN	LINY	LYCO	PISA	SALT	THER	THOM	ARAC	COLE	COLL	DERM	DIP	GRYL	HYME	ISOP	LEPI	OPIL	PSEU	Total Spiders
Agel	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	47	0	0	0	33	0	0	184
Cori	0	0	0	1	0	0	1	0	0	0	1	0	0	4	0	0	0	7	0	0	0	0	18
Dict	0	0	0	0	2	20	0	0	0	2	0	0	0	0	0	13	0	0	0	10	0	0	78
Gnap	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	2	0	2	0	0	30
Hahn	0	0	0	0	0	15	0	0	0	0	3	0	0	0	0	9	0	0	0	16	0	0	101
Liny	0	0	6	0	7	0	3	8	0	10	0	0	0	14	0	21	0	0	0	7	0	0	141
Lyco	0	0	0	4	0	2	0	4	3	0	3	3	4	5	2	4	6	0	1	0	5	0	91
Pisa	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	28	0	0	0	11	3	0	157
Salt	0	3	0	0	0	0	8	10	0	0	5	5	0	2	0	3	8	1	0	0	0	1	87
Ther	0	0	0	0	1	11	0	3	0	0	0	0	0	0	0	8	0	0	0	5	0	3	69
Thom	0	0	0	0	0	0	6	7	0	0	0	1	0	9	0	10	0	0	0	7	0	7	88
